id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,actual_rainfall,rfs_rainfall,normal_rainfall,rainfall_deviation,agri_year,irrigation_food_category,irrigation_crop_type,irrigation_crop_name,irrigation_crop_code,irrigation_season,crop_irrigation_area,total_irrigated_area
363901,2018-2019,Telangana,36,Mancherial,684,Gram,201.0,Pulses,Rabi,212.0,Hectare,333.0,Tonnes,1.571,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Food Crop,Pulses,Gram,201.0,Rabi,31736.0,944546.0
364129,2018-2019,Telangana,36,Nirmal,680,Gram,201.0,Pulses,Rabi,12936.0,Hectare,23828.0,Tonnes,1.842,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Food Crop,Pulses,Gram,201.0,Rabi,31736.0,944546.0
385428,2019-2020,Telangana,36,Adilabad,501,Gram,201.0,Pulses,Rabi,34397.0,Hectare,56694.0,Tonnes,1.648,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Pulses,Gram,201.0,Rabi,51423.0,1048794.0
385824,2019-2020,Telangana,36,Kumuram Bheem Asifabad,699,Gram,201.0,Pulses,Rabi,2545.0,Hectare,1924.0,Tonnes,0.756,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Pulses,Gram,201.0,Rabi,51423.0,1048794.0
385957,2019-2020,Telangana,36,Mancherial,684,Gram,201.0,Pulses,Rabi,159.0,Hectare,243.0,Tonnes,1.528,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Pulses,Gram,201.0,Rabi,51423.0,1048794.0
386234,2019-2020,Telangana,36,Nirmal,680,Gram,201.0,Pulses,Rabi,24485.0,Hectare,39751.0,Tonnes,1.623,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Food Crop,Pulses,Gram,201.0,Rabi,51423.0,1048794.0
406883,2020-2021,Telangana,36,Adilabad,501,Gram,201.0,Pulses,Rabi,31005.0,Hectare,56541.0,Tonnes,1.824,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Food Crop,Pulses,Gram,201.0,Rabi,45200.0,1101556.0
407367,2020-2021,Telangana,36,Kumuram Bheem Asifabad,699,Gram,201.0,Pulses,Rabi,2543.0,Hectare,2182.0,Tonnes,0.858,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Food Crop,Pulses,Gram,201.0,Rabi,45200.0,1101556.0
407508,2020-2021,Telangana,36,Mancherial,684,Gram,201.0,Pulses,Rabi,104.0,Hectare,173.0,Tonnes,1.663,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Food Crop,Pulses,Gram,201.0,Rabi,45200.0,1101556.0
407833,2020-2021,Telangana,36,Nirmal,680,Gram,201.0,Pulses,Rabi,22501.0,Hectare,39315.0,Tonnes,1.747,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Food Crop,Pulses,Gram,201.0,Rabi,45200.0,1101556.0
428142,2021-2022,Telangana,36,Adilabad,501,Gram,201.0,Pulses,Rabi,36353.0,Hectare,52821.0,Tonnes,1.453,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Food Crop,Pulses,Gram,201.0,Rabi,51798.0,1041832.0
