id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
284720,2014-2015,Telangana,36,Adilabad,501,Moong(Green Gram),204.0,Pulses,Total,8324.0,Hectare,4961.0,Tonnes,0.596,Tonnes/Hectare,Adilabad
284721,2014-2015,Telangana,36,Adilabad,501,Onion,708.0,Vegetable,Kharif,9.0,Hectare,140.0,Tonnes,15.556,Tonnes/Hectare,Adilabad
284722,2014-2015,Telangana,36,Adilabad,501,Onion,708.0,Vegetable,Rabi,366.0,Hectare,9997.0,Tonnes,27.314,Tonnes/Hectare,Adilabad
284723,2014-2015,Telangana,36,Adilabad,501,Onion,708.0,Vegetable,Total,375.0,Hectare,10137.0,Tonnes,27.032,Tonnes/Hectare,Adilabad
284724,2014-2015,Telangana,36,Adilabad,501,Other Kharif Pulses,288.0,Pulses,Kharif,96.0,Hectare,33.0,Tonnes,0.344,Tonnes/Hectare,Adilabad
284725,2014-2015,Telangana,36,Adilabad,501,Other Rabi Pulses,288.0,Pulses,Rabi,12.0,Hectare,4.0,Tonnes,0.333,Tonnes/Hectare,Adilabad
284726,2014-2015,Telangana,36,Adilabad,501,Ragi,105.0,Cereals,Rabi,8.0,Hectare,9.0,Tonnes,1.125,Tonnes/Hectare,Adilabad
284727,2014-2015,Telangana,36,Adilabad,501,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,696.0,Hectare,1224.0,Tonnes,1.759,Tonnes/Hectare,Adilabad
284728,2014-2015,Telangana,36,Adilabad,501,Rice,101.0,Cereals,Kharif,36084.0,Hectare,81003.0,Tonnes,2.245,Tonnes/Hectare,Adilabad
284729,2014-2015,Telangana,36,Adilabad,501,Rice,101.0,Cereals,Rabi,13996.0,Hectare,45123.0,Tonnes,3.224,Tonnes/Hectare,Adilabad
284730,2014-2015,Telangana,36,Adilabad,501,Rice,101.0,Cereals,Total,50080.0,Hectare,126126.0,Tonnes,2.518,Tonnes/Hectare,Adilabad
284731,2014-2015,Telangana,36,Adilabad,501,Safflower,1008.0,Oilseeds,Rabi,41.0,Hectare,31.0,Tonnes,0.756,Tonnes/Hectare,Adilabad
284732,2014-2015,Telangana,36,Adilabad,501,Sesamum,1003.0,Oilseeds,Kharif,622.0,Hectare,123.0,Tonnes,0.198,Tonnes/Hectare,Adilabad
284733,2014-2015,Telangana,36,Adilabad,501,Sesamum,1003.0,Oilseeds,Rabi,4199.0,Hectare,2024.0,Tonnes,0.482,Tonnes/Hectare,Adilabad
284734,2014-2015,Telangana,36,Adilabad,501,Sesamum,1003.0,Oilseeds,Total,4821.0,Hectare,2147.0,Tonnes,0.445,Tonnes/Hectare,Adilabad
284735,2014-2015,Telangana,36,Adilabad,501,Soyabean,1009.0,Oilseeds,Kharif,105907.0,Hectare,87585.0,Tonnes,0.827,Tonnes/Hectare,Adilabad
284736,2014-2015,Telangana,36,Adilabad,501,Sugarcane,401.0,Sugar,Kharif,3.0,Hectare,263.0,Tonnes,87.667,Tonnes/Hectare,Adilabad
