id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name,year_start,previous_year_area,historical_avg_area,area_change,area_change_pct
158907,2020-2021,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Tank,Tank,5150.0,Medak,2020,4924.0,4089.25,226.0,4.589764419171406
158913,2020-2021,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Tank,Tank,3811.0,Medak,2020,5150.0,4207.111111111111,-1339.0,-26.0
164499,2021-2022,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Tank,Tank,6403.0,Medak,2021,3811.0,4167.5,2592.0,68.01364471267384
164505,2021-2022,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Tank,Tank,4738.0,Medak,2021,6403.0,4370.727272727273,-1665.0,-26.00343588942683
171063,2022-2023,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Tank,Tank,16625.0,Medak,2022,4738.0,4401.333333333333,11887.0,250.88644997889403
171069,2022-2023,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Tank,Tank,10688.0,Medak,2022,16625.0,5341.615384615385,-5937.0,-35.711278195488724
128428,2016-2017,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Other Well,509.5,Medak,2016,,,,
128434,2016-2017,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Other Well,509.5,Medak,2016,509.5,509.5,0.0,0.0
135928,2017-2018,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Other Well,755.0,Medak,2017,509.5,509.5,245.5,48.18449460255152
135934,2017-2018,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Other Well,755.0,Medak,2017,755.0,591.3333333333334,0.0,0.0
143488,2018-2019,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Other Well,435.0,Medak,2018,755.0,632.25,-320.0,-42.384105960264904
143494,2018-2019,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Other Well,435.0,Medak,2018,435.0,592.8,0.0,0.0
151144,2019-2020,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Other Well,509.5,Medak,2019,435.0,566.5,74.5,17.126436781609193
151150,2019-2020,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Other Well,509.5,Medak,2019,509.5,558.3571428571429,0.0,0.0
158908,2020-2021,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Other Well,601.0,Medak,2020,509.5,552.25,91.5,17.958783120706574
158914,2020-2021,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Other Well,584.0,Medak,2020,601.0,557.6666666666666,-17.0,-2.828618968386023
164500,2021-2022,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Other Well,126.0,Medak,2021,584.0,560.3,-458.0,-78.42465753424658
164506,2021-2022,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Other Well,82.0,Medak,2021,126.0,520.8181818181819,-44.0,-34.92063492063492
171064,2022-2023,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Other Well,509.5,Medak,2022,82.0,484.25,427.5,521.3414634146342
171070,2022-2023,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Other Well,509.5,Medak,2022,509.5,486.1923076923077,0.0,0.0
128429,2016-2017,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Tubewell,44807.0,Medak,2016,,,,
128435,2016-2017,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Tubewell,39878.0,Medak,2016,44807.0,44807.0,-4929.0,-11.000513312652041
135929,2017-2018,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Tubewell,36974.0,Medak,2017,39878.0,42342.5,-2904.0,-7.282210742765434
135935,2017-2018,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Tubewell,29579.0,Medak,2017,36974.0,40553.0,-7395.0,-20.00054092064694
143489,2018-2019,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Tubewell,43110.0,Medak,2018,29579.0,37809.5,13531.0,45.745292268163226
143495,2018-2019,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Tubewell,34057.0,Medak,2018,43110.0,38869.6,-9053.0,-20.99976803525864
151145,2019-2020,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Tubewell,59172.0,Medak,2019,34057.0,38067.5,25115.0,73.74401738262326
151151,2019-2020,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Tubewell,47911.0,Medak,2019,59172.0,41082.42857142857,-11261.0,-19.03096058946799
158909,2020-2021,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Tubewell,59544.0,Medak,2020,47911.0,41936.0,11633.0,24.28043664294212
158915,2020-2021,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Tubewell,43903.0,Medak,2020,59544.0,43892.444444444445,-15641.0,-26.267969904608357
164501,2021-2022,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Tubewell,12395.0,Medak,2021,43903.0,43893.5,-31508.0,-71.76730519554472
164507,2021-2022,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Tubewell,9133.0,Medak,2021,12395.0,41030.0,-3262.0,-26.317063331988706
171065,2022-2023,Telangana,36,Sangareddy,691.0,Gross Irrigated Area,Well,Tubewell,116998.0,Medak,2022,9133.0,38371.916666666664,107865.0,1181.046753531151
171071,2022-2023,Telangana,36,Sangareddy,691.0,Net Irrigated Area,Well,Tubewell,72803.0,Medak,2022,116998.0,44420.07692307692,-44195.0,-37.77414998546983
128436,2016-2017,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Government,30672.0,Medak,2016,,,,
128442,2016-2017,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Government,20274.0,Medak,2016,30672.0,30672.0,-10398.0,-33.900625978090765
