id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,year_start,previous_year_yield,historical_avg_yield,previous_year_production,previous_year_area
322600,2016-2017,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Kharif,5255.0,Hectare,5802.0,Tonnes,1.104,Tonnes/Hectare,Adilabad,2016,1.104,1.01,19916.0,18040.0
322786,2016-2017,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Kharif,6677.0,Hectare,7371.0,Tonnes,1.104,Tonnes/Hectare,Adilabad,2016,1.104,1.0288,5802.0,5255.0
342733,2017-2018,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,22282.0,Hectare,23998.0,Tonnes,1.077,Tonnes/Hectare,Adilabad,2017,1.104,1.0413333333333334,7371.0,6677.0
343093,2017-2018,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Kharif,13971.0,Hectare,10017.0,Tonnes,0.717,Tonnes/Hectare,Adilabad,2017,1.077,1.0464285714285715,23998.0,22282.0
343214,2017-2018,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Kharif,2335.0,Hectare,1338.0,Tonnes,0.573,Tonnes/Hectare,Adilabad,2017,0.717,1.00525,10017.0,13971.0
343379,2017-2018,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Kharif,8282.0,Hectare,7752.0,Tonnes,0.936,Tonnes/Hectare,Adilabad,2017,0.573,0.9572222222222222,1338.0,2335.0
363448,2018-2019,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,23984.0,Hectare,31923.0,Tonnes,1.331,Tonnes/Hectare,Adilabad,2018,0.936,0.9551000000000001,7752.0,8282.0
363785,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Kharif,11759.0,Hectare,12241.0,Tonnes,1.041,Tonnes/Hectare,Adilabad,2018,1.331,0.9892727272727272,31923.0,23984.0
363894,2018-2019,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Kharif,1827.0,Hectare,1447.0,Tonnes,0.792,Tonnes/Hectare,Adilabad,2018,1.041,0.9935833333333334,12241.0,11759.0
364121,2018-2019,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Kharif,8300.0,Hectare,8790.0,Tonnes,1.059,Tonnes/Hectare,Adilabad,2018,0.792,0.9780769230769231,1447.0,1827.0
385410,2019-2020,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,23803.0,Hectare,29585.0,Tonnes,1.243,Tonnes/Hectare,Adilabad,2019,1.059,0.9838571428571429,8790.0,8300.0
385811,2019-2020,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Kharif,10853.0,Hectare,14857.0,Tonnes,1.369,Tonnes/Hectare,Adilabad,2019,1.243,1.0011333333333332,29585.0,23803.0
