id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
5396,1998-1999,Telangana,36,Medak,513.0,Net Irrigated Area,Other Source,Other Source,1416.0,Medak
5397,1998-1999,Telangana,36,Medak,513.0,Net Irrigated Area,Tank,Tank,19036.0,Medak
5398,1998-1999,Telangana,36,Medak,513.0,Net Irrigated Area,Well,Other Well,31800.0,Medak
5399,1998-1999,Telangana,36,Medak,513.0,Net Irrigated Area,Well,Tubewell,86343.0,Medak
5400,1998-1999,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Canal,Government,123460.0,Nalgonda
5401,1998-1999,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Canal,Private,,Nalgonda
5402,1998-1999,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Other Source,Other Source,24180.0,Nalgonda
5403,1998-1999,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Tank,Tank,27085.0,Nalgonda
5404,1998-1999,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Well,Other Well,135402.0,Nalgonda
5405,1998-1999,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Well,Tubewell,51715.0,Nalgonda
5406,1998-1999,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Canal,Government,71992.0,Nalgonda
5407,1998-1999,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Canal,Private,,Nalgonda
5408,1998-1999,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Other Source,Other Source,12784.0,Nalgonda
5409,1998-1999,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Tank,Tank,16312.0,Nalgonda
5410,1998-1999,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Well,Other Well,90643.0,Nalgonda
5411,1998-1999,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Well,Tubewell,31960.0,Nalgonda
5412,1998-1999,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Canal,Government,40181.0,Nizamabad
5413,1998-1999,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Canal,Private,,Nizamabad
5414,1998-1999,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Other Source,Other Source,5392.0,Nizamabad
5415,1998-1999,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Tank,Tank,30582.0,Nizamabad
5416,1998-1999,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Well,Other Well,18114.0,Nizamabad
5417,1998-1999,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Well,Tubewell,181007.0,Nizamabad
5418,1998-1999,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Canal,Government,24073.0,Nizamabad
5419,1998-1999,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Canal,Private,,Nizamabad
5420,1998-1999,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Other Source,Other Source,3464.0,Nizamabad
5421,1998-1999,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Tank,Tank,21955.0,Nizamabad
5422,1998-1999,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Well,Other Well,10344.0,Nizamabad
5423,1998-1999,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Well,Tubewell,99297.0,Nizamabad
5424,1998-1999,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Canal,Government,3136.0,Ranga Reddy
5425,1998-1999,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Canal,Private,,Ranga Reddy
5426,1998-1999,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Other Source,Other Source,2432.0,Ranga Reddy
5427,1998-1999,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Tank,Tank,9455.0,Ranga Reddy
5428,1998-1999,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Well,Other Well,38002.0,Ranga Reddy
5429,1998-1999,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Well,Tubewell,47292.0,Ranga Reddy
5430,1998-1999,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Canal,Government,2866.0,Ranga Reddy
5431,1998-1999,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Canal,Private,,Ranga Reddy
