id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
17836,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,2488.0,Adilabad
17837,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Adilabad
17838,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,,Adilabad
17839,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,18.0,Adilabad
17840,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,584.0,Karimnagar
17841,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Karimnagar
17842,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,,Karimnagar
17843,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,662.0,Karimnagar
17844,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Karimnagar
17845,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,53700.0,Karimnagar
17846,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Karimnagar
17847,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Karimnagar
17848,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Karimnagar
17849,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,,Karimnagar
