id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
450226,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Sugarcane,401.0,Sugar,Kharif,826.0,Hectare,79923.0,Tonnes,96.759,Tonnes/Hectare,Khammam
450227,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Sunflower,1007.0,Oilseeds,Rabi,204.0,Hectare,380.0,Tonnes,1.863,Tonnes/Hectare,Khammam
450228,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Sweet Potato,703.0,Vegetable,Rabi,19.0,Hectare,138.0,Tonnes,7.263,Tonnes/Hectare,Khammam
450229,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Tobacco,1302.0,Drugs And Narcotics,Rabi,495.0,Hectare,938.0,Tonnes,1.895,Tonnes/Hectare,Khammam
450230,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Turmeric,504.0,Spices,Kharif,13.0,Hectare,98.0,Tonnes,7.538,Tonnes/Hectare,Khammam
450231,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Urad,203.0,Pulses,Kharif,142.0,Hectare,294.0,Tonnes,2.07,Tonnes/Hectare,Khammam
450232,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Urad,203.0,Pulses,Rabi,346.0,Hectare,346.0,Tonnes,1.0,Tonnes/Hectare,Khammam
450233,2022-2023,Telangana,36,Bhadradri Kothagudem,690,Urad,203.0,Pulses,Total,488.0,Hectare,640.0,Tonnes,1.311,Tonnes/Hectare,Khammam
450234,2022-2023,Telangana,36,Hanumakonda,686,Arhar/Tur,202.0,Pulses,Kharif,281.0,Hectare,121.0,Tonnes,0.431,Tonnes/Hectare,Warangal
450235,2022-2023,Telangana,36,Hanumakonda,686,Arhar/Tur,202.0,Pulses,Rabi,2.0,Hectare,2.0,Tonnes,1.0,Tonnes/Hectare,Warangal
450236,2022-2023,Telangana,36,Hanumakonda,686,Arhar/Tur,202.0,Pulses,Total,283.0,Hectare,123.0,Tonnes,0.435,Tonnes/Hectare,Warangal
450237,2022-2023,Telangana,36,Hanumakonda,686,Bajra,103.0,Cereals,Rabi,1.0,Hectare,3.0,Tonnes,3.0,Tonnes/Hectare,Warangal
450238,2022-2023,Telangana,36,Hanumakonda,686,Banana,606.0,Fruits,Kharif,177.0,Hectare,7467.0,Tonnes,42.186,Tonnes/Hectare,Warangal
450239,2022-2023,Telangana,36,Hanumakonda,686,Castor Seed,1002.0,Oilseeds,Kharif,3.0,Hectare,2.0,Tonnes,0.667,Tonnes/Hectare,Warangal
450240,2022-2023,Telangana,36,Hanumakonda,686,Cotton(Lint),1101.0,Fiber Crops,Kharif,37266.0,Hectare,139638.0,Tonnes,3.747,Tonnes/Hectare,Warangal
450241,2022-2023,Telangana,36,Hanumakonda,686,Cotton(Lint),1101.0,Fiber Crops,Rabi,60.0,Hectare,225.0,Tonnes,3.75,Tonnes/Hectare,Warangal
450242,2022-2023,Telangana,36,Hanumakonda,686,Cotton(Lint),1101.0,Fiber Crops,Total,37326.0,Hectare,139863.0,Tonnes,3.747,Tonnes/Hectare,Warangal
450243,2022-2023,Telangana,36,Hanumakonda,686,Cowpea(Lobia),288.0,Pulses,Rabi,11.0,Hectare,10.0,Tonnes,0.909,Tonnes/Hectare,Warangal
450244,2022-2023,Telangana,36,Hanumakonda,686,Dry Chillies,502.0,Spices,Kharif,1959.0,Hectare,10224.0,Tonnes,5.219,Tonnes/Hectare,Warangal
450245,2022-2023,Telangana,36,Hanumakonda,686,Dry Chillies,502.0,Spices,Rabi,198.0,Hectare,1007.0,Tonnes,5.086,Tonnes/Hectare,Warangal
450246,2022-2023,Telangana,36,Hanumakonda,686,Dry Chillies,502.0,Spices,Total,2157.0,Hectare,11231.0,Tonnes,5.207,Tonnes/Hectare,Warangal
