id,date,state_code,state_name,district_code,district_name,actual,rfs,normal,deviation
2912176,2009-12-02,36,Telangana,507,Hyderabad,0.0,0.0,0.0,
2912210,2009-12-05,36,Telangana,509,Khammam,0.0,0.0,0.0,
2912279,2009-12-12,36,Telangana,508,Karimnagar,0.0,0.0,0.0,
2912380,2009-12-22,36,Telangana,509,Khammam,0.0,0.0,0.0,
2912381,2009-12-22,36,Telangana,512,Mahabubnagar,0.0,0.0,0.0,
2912382,2009-12-23,36,Telangana,513,Medak,0.0,0.0,0.0,
2912485,2009-02-02,36,Telangana,518,Ranga Reddy,0.0,0.0,0.0,
2912486,2009-02-02,36,Telangana,507,Hyderabad,0.0,0.0,0.0,
2912521,2009-02-05,36,Telangana,512,Mahabubnagar,0.0,0.0,0.0,
2912522,2009-02-06,36,Telangana,513,Medak,0.0,0.0,0.0,
2912591,2009-02-12,36,Telangana,512,Mahabubnagar,0.0,0.0,0.0,
2912726,2009-02-26,36,Telangana,507,Hyderabad,0.0,0.0,0.0,
2911552,2009-04-01,36,Telangana,513,Medak,0.0,0.0,0.5,-100.0
2911553,2009-04-01,36,Telangana,501,Adilabad,0.0,0.0,0.2,-100.0
2911554,2009-04-01,36,Telangana,514,Nalgonda,0.0,0.0,0.1,-100.0
2911555,2009-04-01,36,Telangana,518,Ranga Reddy,0.0,0.0,1.0,-100.0
2911556,2009-04-01,36,Telangana,507,Hyderabad,0.0,0.0,1.1,-100.0
2911557,2009-04-01,36,Telangana,522,Warangal,0.0,0.0,0.1,-100.0
2911558,2009-04-01,36,Telangana,516,Nizamabad,0.0,0.0,0.2,-100.0
2911559,2009-04-01,36,Telangana,508,Karimnagar,0.0,0.0,0.1,-100.0
2911560,2009-04-01,36,Telangana,509,Khammam,0.0,0.0,0.6,-100.0
2911561,2009-04-01,36,Telangana,512,Mahabubnagar,0.0,0.0,0.2,-100.0
2911562,2009-04-02,36,Telangana,513,Medak,0.0,0.0,0.7,-100.0
2911563,2009-04-02,36,Telangana,501,Adilabad,0.0,0.0,0.6,-100.0
2911564,2009-04-02,36,Telangana,514,Nalgonda,0.0,0.0,0.4,-100.0
2911565,2009-04-02,36,Telangana,518,Ranga Reddy,0.0,0.0,0.7,-100.0
2911566,2009-04-02,36,Telangana,507,Hyderabad,0.0,0.0,0.5,-100.0
2911567,2009-04-02,36,Telangana,522,Warangal,0.0,0.0,0.3,-100.0
2911568,2009-04-02,36,Telangana,516,Nizamabad,0.0,0.0,0.8,-100.0
2911569,2009-04-02,36,Telangana,508,Karimnagar,0.0,0.0,0.4,-100.0
2911570,2009-04-02,36,Telangana,509,Khammam,0.0,0.0,0.5,-100.0
2911571,2009-04-02,36,Telangana,512,Mahabubnagar,0.0,0.0,0.3,-100.0
2911572,2009-04-03,36,Telangana,513,Medak,0.0,0.0,0.2,-100.0
2911573,2009-04-03,36,Telangana,501,Adilabad,0.0,0.0,0.4,-100.0
2911574,2009-04-03,36,Telangana,514,Nalgonda,0.0,0.0,0.4,-100.0
2911575,2009-04-03,36,Telangana,518,Ranga Reddy,0.0,0.0,0.3,-100.0
2911576,2009-04-03,36,Telangana,507,Hyderabad,0.0,0.0,0.9,-100.0
2911577,2009-04-03,36,Telangana,522,Warangal,0.0,0.0,0.6,-100.0
2911578,2009-04-03,36,Telangana,516,Nizamabad,0.0,0.0,0.3,-100.0
2911579,2009-04-03,36,Telangana,508,Karimnagar,0.0,0.0,0.8,-100.0
2911580,2009-04-03,36,Telangana,509,Khammam,0.0,0.0,0.4,-100.0
2911581,2009-04-03,36,Telangana,512,Mahabubnagar,0.0,0.0,0.2,-100.0
2911582,2009-04-04,36,Telangana,513,Medak,0.0,0.0,0.3,-100.0
2911583,2009-04-04,36,Telangana,501,Adilabad,0.0,0.0,0.8,-100.0
2911584,2009-04-04,36,Telangana,514,Nalgonda,0.0,0.0,0.2,-100.0
2911585,2009-04-04,36,Telangana,518,Ranga Reddy,0.0,0.0,0.5,-100.0
2911586,2009-04-04,36,Telangana,507,Hyderabad,0.0,0.0,0.3,-100.0
2911587,2009-04-04,36,Telangana,522,Warangal,0.0,0.0,0.3,-100.0
2911588,2009-04-04,36,Telangana,516,Nizamabad,0.0,0.0,0.3,-100.0
2911589,2009-04-04,36,Telangana,508,Karimnagar,0.0,0.0,0.4,-100.0
2911590,2009-04-04,36,Telangana,509,Khammam,0.0,0.0,0.7,-100.0
2911591,2009-04-04,36,Telangana,512,Mahabubnagar,0.0,0.0,0.6,-100.0
2911592,2009-04-05,36,Telangana,513,Medak,0.0,0.0,0.5,-100.0
2911593,2009-04-05,36,Telangana,501,Adilabad,0.0,0.0,0.3,-100.0
2911594,2009-04-05,36,Telangana,514,Nalgonda,0.0,0.0,0.1,-100.0
2911595,2009-04-05,36,Telangana,518,Ranga Reddy,0.0,0.0,0.3,-100.0
2911596,2009-04-05,36,Telangana,507,Hyderabad,0.0,0.0,0.8,-100.0
2911597,2009-04-05,36,Telangana,522,Warangal,0.0,0.0,0.4,-100.0
2911598,2009-04-05,36,Telangana,516,Nizamabad,0.0,0.0,0.3,-100.0
2911599,2009-04-05,36,Telangana,508,Karimnagar,0.0,0.0,0.2,-100.0
2911600,2009-04-05,36,Telangana,509,Khammam,0.0,0.0,0.3,-100.0
2911601,2009-04-05,36,Telangana,512,Mahabubnagar,0.0,0.0,0.3,-100.0
2911602,2009-04-06,36,Telangana,513,Medak,0.0,0.0,0.4,-100.0
2911603,2009-04-06,36,Telangana,501,Adilabad,0.0,0.0,0.4,-100.0
2911604,2009-04-06,36,Telangana,514,Nalgonda,0.0,0.0,0.8,-100.0
2911605,2009-04-06,36,Telangana,518,Ranga Reddy,0.0,0.0,0.3,-100.0
2911606,2009-04-06,36,Telangana,507,Hyderabad,0.0,0.0,0.4,-100.0
2911607,2009-04-06,36,Telangana,522,Warangal,0.0,0.0,0.6,-100.0
2911608,2009-04-06,36,Telangana,516,Nizamabad,0.0,0.0,0.5,-100.0
2911609,2009-04-06,36,Telangana,508,Karimnagar,0.0,0.0,0.3,-100.0
2911610,2009-04-06,36,Telangana,509,Khammam,0.0,0.0,0.5,-100.0
2911611,2009-04-06,36,Telangana,512,Mahabubnagar,0.0,0.0,0.9,-100.0
2911612,2009-04-07,36,Telangana,513,Medak,0.97,0.3261388113,0.7,38.57
2911613,2009-04-07,36,Telangana,501,Adilabad,0.0,0.0,0.4,-100.0
2911614,2009-04-07,36,Telangana,514,Nalgonda,0.65,0.3157770171,0.7,-7.14
2911615,2009-04-07,36,Telangana,518,Ranga Reddy,1.25,0.3241160861,0.3,316.67
2911616,2009-04-07,36,Telangana,507,Hyderabad,1.86,0.0114080555,0.3,520.0
2911617,2009-04-07,36,Telangana,522,Warangal,0.02,0.0089804196,0.4,-95.0
2911618,2009-04-07,36,Telangana,516,Nizamabad,0.02,0.0055704807,0.3,-93.33
2911619,2009-04-07,36,Telangana,508,Karimnagar,0.0,0.0008650018,0.2,-100.0
2911620,2009-04-07,36,Telangana,509,Khammam,0.0,0.0,0.4,-100.0
2911621,2009-04-07,36,Telangana,512,Mahabubnagar,0.29,0.1827076983,0.6,-51.67
2911622,2009-04-08,36,Telangana,513,Medak,7.21,2.4173242937,1.3,454.62
2911623,2009-04-08,36,Telangana,501,Adilabad,0.19,0.1033237073,0.5,-62.0
2911624,2009-04-08,36,Telangana,514,Nalgonda,4.34,2.1059868298,0.3,1346.67
2911625,2009-04-08,36,Telangana,518,Ranga Reddy,8.98,2.3330478442,0.7,1182.86
2911626,2009-04-08,36,Telangana,507,Hyderabad,12.48,0.0764166759,1.1,1034.55
2911627,2009-04-08,36,Telangana,522,Warangal,0.16,0.0713186957,0.6,-73.33
2911628,2009-04-08,36,Telangana,516,Nizamabad,1.07,0.2910289477,0.8,33.75
2911629,2009-04-08,36,Telangana,508,Karimnagar,0.29,0.1194945113,0.1,190.0
2911630,2009-04-08,36,Telangana,509,Khammam,0.0,0.0015282066,1.1,-100.0
2911631,2009-04-08,36,Telangana,512,Mahabubnagar,2.45,1.5574100463,0.1,2350.0
2911632,2009-04-09,36,Telangana,513,Medak,0.61,0.2037739584,0.8,-23.75
2911633,2009-04-09,36,Telangana,501,Adilabad,4.69,2.5725696344,0.2,2245.0
2911634,2009-04-09,36,Telangana,514,Nalgonda,0.07,0.0329902863,0.1,-30.0
2911635,2009-04-09,36,Telangana,518,Ranga Reddy,0.18,0.0480330118,0.3,-40.0
2911636,2009-04-09,36,Telangana,507,Hyderabad,0.2,0.0012249427,0.3,-33.33
2911637,2009-04-09,36,Telangana,522,Warangal,0.17,0.0727086659,0.7,-75.71
2911638,2009-04-09,36,Telangana,516,Nizamabad,9.57,2.5930326042,0.5,1814.0
2911639,2009-04-09,36,Telangana,508,Karimnagar,2.66,1.085877337,0.1,2560.0
2911640,2009-04-09,36,Telangana,509,Khammam,0.0,0.0,0.7,-100.0
2911641,2009-04-09,36,Telangana,512,Mahabubnagar,0.25,0.1613768165,0.4,-37.5
2911642,2009-04-10,36,Telangana,513,Medak,0.0,0.0,0.5,-100.0
2911643,2009-04-10,36,Telangana,501,Adilabad,0.0,0.0,0.1,-100.0
2911644,2009-04-10,36,Telangana,514,Nalgonda,0.0,0.0,0.4,-100.0
2911645,2009-04-10,36,Telangana,518,Ranga Reddy,0.0,0.0,0.4,-100.0
2911646,2009-04-10,36,Telangana,507,Hyderabad,0.0,0.0,0.6,-100.0
2911647,2009-04-10,36,Telangana,522,Warangal,0.0,0.0,0.5,-100.0
2911648,2009-04-10,36,Telangana,516,Nizamabad,0.0,0.0,0.3,-100.0
2911649,2009-04-10,36,Telangana,508,Karimnagar,0.0,0.0,0.4,-100.0
2911650,2009-04-10,36,Telangana,509,Khammam,0.0,0.0,0.5,-100.0
2911651,2009-04-10,36,Telangana,512,Mahabubnagar,0.0,0.0,0.2,-100.0
2911652,2009-04-11,36,Telangana,513,Medak,0.0,0.0,0.8,-100.0
2911653,2009-04-11,36,Telangana,501,Adilabad,0.0,0.0,0.9,-100.0
2911654,2009-04-11,36,Telangana,514,Nalgonda,0.0,0.0,0.1,-100.0
2911655,2009-04-11,36,Telangana,518,Ranga Reddy,0.0,0.0,1.0,-100.0
2911656,2009-04-11,36,Telangana,507,Hyderabad,0.0,0.0,0.7,-100.0
2911657,2009-04-11,36,Telangana,522,Warangal,0.0,0.0,0.3,-100.0
2911658,2009-04-11,36,Telangana,516,Nizamabad,0.0,0.0,0.2,-100.0
2911659,2009-04-11,36,Telangana,508,Karimnagar,0.0,0.0,0.3,-100.0
2911660,2009-04-11,36,Telangana,509,Khammam,0.0,0.0,0.6,-100.0
2911661,2009-04-11,36,Telangana,512,Mahabubnagar,0.0,0.0,1.1,-100.0
2911662,2009-04-12,36,Telangana,513,Medak,0.0,0.0,0.6,-100.0
2911663,2009-04-12,36,Telangana,501,Adilabad,0.0,0.0,0.5,-100.0
2911664,2009-04-12,36,Telangana,514,Nalgonda,0.0,0.0,0.5,-100.0
2911665,2009-04-12,36,Telangana,518,Ranga Reddy,0.0,0.0,0.5,-100.0
2911666,2009-04-12,36,Telangana,507,Hyderabad,0.0,0.0,0.5,-100.0
2911667,2009-04-12,36,Telangana,522,Warangal,0.0,0.0,0.4,-100.0
2911668,2009-04-12,36,Telangana,516,Nizamabad,0.0,0.0,0.6,-100.0
2911669,2009-04-12,36,Telangana,508,Karimnagar,0.0,0.0,0.5,-100.0
2911670,2009-04-12,36,Telangana,509,Khammam,0.0,0.0,0.9,-100.0
2911671,2009-04-12,36,Telangana,512,Mahabubnagar,0.0,0.0,0.6,-100.0
2911672,2009-04-13,36,Telangana,513,Medak,0.0,0.0,0.4,-100.0
2911673,2009-04-13,36,Telangana,501,Adilabad,0.0,0.0,0.4,-100.0
2911674,2009-04-13,36,Telangana,514,Nalgonda,0.0,0.0,0.5,-100.0
2911675,2009-04-13,36,Telangana,518,Ranga Reddy,0.0,0.0,1.1,-100.0
2911676,2009-04-13,36,Telangana,507,Hyderabad,0.0,0.0,0.3,-100.0
2911677,2009-04-13,36,Telangana,522,Warangal,0.0,0.0,1.4,-100.0
2911678,2009-04-13,36,Telangana,516,Nizamabad,0.0,0.0,0.4,-100.0
2911679,2009-04-13,36,Telangana,508,Karimnagar,0.0,0.0,0.3,-100.0
2911680,2009-04-13,36,Telangana,509,Khammam,0.0,0.0,0.6,-100.0
